,ANI energy,DFT energy,Phi,Psi
954,-1781909.967222222,-1781909.0299143477,180,260
955,-1781910.7659598056,-1781910.0837537583,190,260
956,-1781913.1724217213,-1781912.3810031912,200,260
957,-1781915.7145226141,-1781915.017233242,210,260
958,-1781917.512938684,-1781917.1586720727,220,260
959,-1781918.3738956435,-1781918.249660044,230,260
960,-1781918.1243270114,-1781918.0720748627,240,260
961,-1781916.4751031948,-1781916.9860442164,250,260
962,-1781914.9945194824,-1781915.4390451103,260,260
963,-1781913.4823601833,-1781913.5760949843,270,260
964,-1781911.8754643213,-1781911.6041464626,280,260
965,-1781910.585600996,-1781909.888598312,290,260
966,-1781909.9844031502,-1781909.0317968763,300,260
967,-1781910.4143042886,-1781909.602265739,310,260
968,-1781912.2790947377,-1781911.5817443742,320,260
969,-1781914.8928802172,-1781914.278717342,330,260
970,-1781917.0694010183,-1781916.708496776,340,260
971,-1781918.25892528,-1781918.1214598585,350,260
972,-1781919.054302512,-1781918.8695766532,0,270
973,-1781918.305534764,-1781918.0809227463,10,270
974,-1781915.817174449,-1781916.3921064995,20,270
975,-1781914.0582314003,-1781914.362803612,30,270
976,-1781912.4324542263,-1781912.135521485,40,270
977,-1781911.2389102115,-1781910.1766879114,50,270
978,-1781910.5427423206,-1781909.1647033829,60,270
979,-1781910.496929324,-1781909.7301521697,70,270
980,-1781912.2807998336,-1781911.8465533722,80,270
981,-1781914.9964840806,-1781914.7242490686,90,270
982,-1781917.4301608612,-1781917.264344668,100,270
983,-1781918.913042557,-1781918.7075537068,110,270
984,-1781918.9448813035,-1781918.7785877795,120,270
985,-1781917.9404337865,-1781917.7204185536,130,270
986,-1781915.4019831098,-1781916.1303095466,140,270
987,-1781913.71208475,-1781914.118137668,150,270
988,-1781912.1915560705,-1781911.926749083,160,270
989,-1781911.1075384957,-1781910.012719686,170,270
990,-1781910.4810338183,-1781909.1397285059,180,270
991,-1781910.624158204,-1781909.982787484,190,270
992,-1781912.6477375552,-1781912.247971183,200,270
993,-1781915.312507581,-1781915.0282774088,210,270
994,-1781917.5373794143,-1781917.4036517714,220,270
995,-1781918.9180338157,-1781918.7347876183,230,270
996,-1781918.9574186946,-1781918.7677318656,240,270
997,-1781917.3700442605,-1781917.801492778,250,270
998,-1781915.618812843,-1781916.336446409,260,270
999,-1781914.0243247743,-1781914.4404265336,270,270
1000,-1781912.4952265806,-1781912.3188797536,280,270
1001,-1781911.3120527687,-1781910.3660075197,290,270
1002,-1781910.5933379764,-1781909.219045703,300,270
1003,-1781910.425439708,-1781909.5274038587,310,270
1004,-1781911.7248085684,-1781911.373662233,320,270
1005,-1781914.2659568805,-1781914.142924292,330,270
1006,-1781916.8242787477,-1781916.8085217862,340,270
1007,-1781918.64714362,-1781918.5185478535,350,270
1008,-1781919.0502914977,-1781918.82828653,0,280
1009,-1781917.9689527294,-1781918.2349135713,10,280
1010,-1781916.402108677,-1781917.0273343397,20,280
1011,-1781914.6954147776,-1781915.2255036363,30,280
1012,-1781912.9034428557,-1781913.028906723,40,280
1013,-1781911.921008405,-1781911.5130320871,50,280
1014,-1781910.5733675363,-1781909.328044099,60,280
1015,-1781910.2558820334,-1781909.553382751,70,280
1016,-1781911.7825418701,-1781911.4950853162,80,280
1017,-1781914.3621409538,-1781914.3386444969,90,280
1018,-1781916.928527429,-1781916.9477033874,100,280
1019,-1781918.6770130428,-1781918.531098043,110,280
1020,-1781919.0863090719,-1781918.7591349857,120,280
1021,-1781917.584243511,-1781918.0605286886,130,280
1022,-1781916.045914603,-1781916.8067647596,140,280
1023,-1781914.4412650357,-1781915.0261438766,150,280
1024,-1781912.7065685138,-1781912.8829480195,160,280
1025,-1781911.673480633,-1781911.2494781078,170,280
1026,-1781910.4361982537,-1781909.2463423654,180,280
1027,-1781910.3464566297,-1781909.783553226,190,280
1028,-1781912.1001180669,-1781911.9200974829,200,280
1029,-1781914.6693791822,-1781914.6978936708,210,280
1030,-1781917.1125432441,-1781917.1389055243,220,280
1031,-1781918.7177212948,-1781918.5792907707,230,280
1032,-1781919.0995124301,-1781918.7561229402,240,280
1033,-1781918.3731419006,-1781918.0381893513,250,280
1034,-1781916.2419556438,-1781916.9927585677,260,280
1035,-1781914.7158313447,-1781915.3088996455,270,280
1036,-1781912.9658525446,-1781913.205738893,280,280
1037,-1781911.8976279567,-1781911.496465837,290,280
1038,-1781910.6697083605,-1781909.4338421964,300,280
1039,-1781910.2413322863,-1781909.3941208466,310,280
1040,-1781911.2656618506,-1781911.0307910563,320,280
1041,-1781913.640830826,-1781913.72550499,330,280
1042,-1781916.2532687935,-1781916.4453820537,340,280
1043,-1781918.3278420148,-1781918.2932719523,350,280
1044,-1781917.7842758694,-1781918.2714346228,0,290
1045,-1781917.544798031,-1781918.3065751533,10,290
1046,-1781917.1323047883,-1781917.7647207226,20,290
1047,-1781915.9835015212,-1781916.3481180852,30,290
1048,-1781914.9304670608,-1781914.3144226314,40,290
1049,-1781913.0250164457,-1781912.2639726745,50,290
1050,-1781910.9538148537,-1781910.3318710043,60,290
1051,-1781910.137690418,-1781909.3454888621,70,290
1052,-1781911.3508863584,-1781910.9770134944,80,290
1053,-1781913.6882138774,-1781913.651647125,90,290
1054,-1781916.0066514004,-1781916.1875384108,100,290
1055,-1781917.7346886971,-1781917.8139174653,110,290
1056,-1781917.840227239,-1781918.3134150065,120,290
1057,-1781917.4799581666,-1781918.2644065164,130,290
1058,-1781916.9922639523,-1781917.6226525777,140,290
1059,-1781915.7241638706,-1781916.1493858348,150,290
1060,-1781914.6007078374,-1781914.0912175116,160,290
1061,-1781912.7247394253,-1781911.9979714085,170,290
1062,-1781910.773709424,-1781910.1202748097,180,290
1063,-1781910.2298801874,-1781909.506633295,190,290
1064,-1781911.614878737,-1781911.3844553959,200,290
1065,-1781913.911250724,-1781914.021626711,210,290
1066,-1781916.1623323539,-1781916.3896592124,220,290
1067,-1781917.7641915828,-1781917.8670675177,230,290
1068,-1781917.8377210172,-1781918.3099009534,240,290
1069,-1781917.5145640438,-1781918.2922051863,250,290
1070,-1781917.1122150547,-1781917.7721253342,260,290
1071,-1781915.9697044627,-1781916.4298198186,270,290
1072,-1781914.8811118049,-1781914.4382930014,280,290
1073,-1781913.0803583448,-1781912.3521377554,290,290
1074,-1781911.0450270085,-1781910.4565571367,300,290
1075,-1781910.1373987223,-1781909.259833819,310,290
1076,-1781910.8530973094,-1781910.5381961192,320,290
1077,-1781912.9878813997,-1781913.025204417,330,290
