,ANI energy,DFT energy,Phi,Psi
885,-857958.6573578663,-857958.3813923483,210,240
886,-857959.0110054844,-857958.5158676285,220,240
887,-857958.8238066997,-857958.2212519305,230,240
888,-857958.3855807019,-857957.8091037081,240,240
889,-857958.1583241737,-857957.4252561629,250,240
890,-857957.9054258784,-857957.1755701433,260,240
891,-857958.0376651218,-857957.0113509139,270,240
892,-857958.4857554,-857957.0011225095,280,240
893,-857958.8375755203,-857957.2503692724,290,240
894,-857959.2823557256,-857957.6394251463,300,240
895,-857959.8655422991,-857958.0105342492,310,240
896,-857960.0345671271,-857958.0928634922,320,240
897,-857959.5429197008,-857957.6662825518,330,240
898,-857958.5044616754,-857956.5570968058,340,240
899,-857956.5251731742,-857955.2196231132,350,240
900,-857956.139616273,-857955.092050437,0,250
901,-857955.604970827,-857954.7135367225,10,250
902,-857955.565301052,-857953.8151314086,20,250
903,-857956.2407464872,-857953.1061084542,30,250
904,-857953.5239414998,-857952.3214706079,40,250
905,-857953.4885936275,-857951.4716972784,50,250
906,-857953.1846652966,-857951.2520689626,60,250
907,-857953.2839679035,-857951.6328417113,70,250
908,-857953.1630808391,-857952.0712825806,80,250
909,-857952.9576577558,-857952.3264906837,90,250
910,-857951.5544391592,-857952.1977884907,100,250
911,-857951.4853585147,-857953.202933166,110,250
912,-857951.7569739518,-857953.9567602968,120,250
913,-857952.7856728091,-857954.9817342716,130,250
914,-857954.4628771788,-857955.8739899925,140,250
915,-857954.9204126307,-857956.4090045699,150,250
916,-857954.9990540895,-857956.4015372072,160,250
917,-857954.9268150915,-857956.1543612254,170,250
918,-857955.5691676601,-857956.0607995628,180,250
919,-857956.4064489149,-857956.3375939918,190,250
920,-857957.2479642554,-857956.8011352401,200,250
921,-857957.8340212493,-857956.9977967092,210,250
922,-857957.7610012372,-857956.9124554208,220,250
923,-857957.3011488776,-857956.6704250168,230,250
924,-857957.1848463368,-857956.4907690543,240,250
925,-857957.0097830191,-857956.3501441812,250,250
926,-857956.9368946643,-857956.2294741094,260,250
927,-857957.1219045554,-857956.0630585969,270,250
928,-857957.3717678813,-857955.9880084639,280,250
929,-857957.6939897545,-857956.0412840183,290,250
930,-857958.0115915188,-857956.171617736,300,250
931,-857958.2091036236,-857956.232360653,310,250
932,-857958.3002948529,-857956.128633337,320,250
933,-857958.8143168641,-857955.6954007962,330,250
934,-857957.2306674029,-857954.8492670216,340,250
935,-857956.5050282186,-857955.0405319093,350,250
936,-857956.1541873016,-857954.4121439221,0,260
937,-857955.8634357713,-857953.8573627962,10,260
938,-857955.1914326872,-857952.6503483233,20,260
939,-857956.0777985378,-857952.2631122269,30,260
940,-857953.5403053084,-857951.3055327698,40,260
941,-857953.4247451465,-857950.7930457824,50,260
942,-857953.353428426,-857950.9009774119,60,260
943,-857953.4591415569,-857951.0414767831,70,260
944,-857953.3049875709,-857951.0375862244,80,260
945,-857951.5508695702,-857950.7818761137,90,260
946,-857952.1049986072,-857953.1512891363,100,260
947,-857950.1508455883,-857951.8778214098,110,260
948,-857950.7379574031,-857953.008405229,120,260
949,-857952.8662583473,-857954.0806934179,130,260
950,-857954.1396737829,-857954.8232253785,140,260
951,-857954.5324099036,-857955.0351980787,150,260
952,-857954.4638828814,-857954.8743046497,160,260
953,-857954.3642581896,-857954.7590939101,170,260
954,-857955.0026147207,-857954.7813077456,180,260
955,-857955.7351497205,-857955.024153912,190,260
956,-857956.3574749741,-857955.1572486714,200,260
957,-857956.527196204,-857955.1566211618,210,260
958,-857956.1550202462,-857955.0649420278,220,260
959,-857956.1131961127,-857955.0433557018,230,260
960,-857956.0113180315,-857955.0862773499,240,260
961,-857955.9038990522,-857955.1515383351,250,260
962,-857955.8967291011,-857955.0496935477,260,260
963,-857955.9730399917,-857954.7579643932,270,260
964,-857955.9470078364,-857954.4570736005,280,260
965,-857956.1729725276,-857954.2475481872,290,260
966,-857956.4038991458,-857954.1151436882,300,260
967,-857956.5910546747,-857954.0387130342,310,260
968,-857958.0434414931,-857953.9312206613,320,260
969,-857957.6066943539,-857953.7066977716,330,260
970,-857956.3650363912,-857953.9713185166,340,260
971,-857956.2623487875,-857954.4057433255,350,260
972,-857956.0149146406,-857953.5075890155,0,270
973,-857955.5422759602,-857952.6644672863,10,270
974,-857956.3826475118,-857952.111380436,20,270
975,-857955.4764899289,-857951.074985789,30,270
976,-857953.6627147611,-857950.4167911018,40,270
977,-857953.4005861463,-857950.333269591,50,270
978,-857953.5417882305,-857950.1822908114,60,270
979,-857953.5148893167,-857949.8861063397,70,270
980,-857953.0575127798,-857949.3866087985,80,270
981,-857950.4516538355,-857948.786019481,90,270
982,-857950.7521883214,-857949.2399598345,100,270
983,-857949.0277094766,-857950.692142259,110,270
984,-857950.8658590377,-857951.8594981333,120,270
985,-857952.535765707,-857952.7910986982,130,270
986,-857953.4982229645,-857953.2444742932,140,270
987,-857953.8419308398,-857953.2562087202,150,270
988,-857953.7120682236,-857953.1666631183,160,270
989,-857953.7050201227,-857953.0617435344,170,270
990,-857954.232414667,-857953.1238669722,180,270
991,-857954.8359500014,-857953.1859904102,190,270
992,-857955.1258377318,-857953.1617685443,200,270
993,-857954.9634531024,-857953.1292635537,210,270
994,-857954.8638704881,-857953.2061334642,220,270
995,-857954.8428455885,-857953.4361156864,230,270
996,-857954.7481968132,-857953.6868684721,240,270
997,-857954.7238825781,-857953.7794261195,250,270
998,-857954.7070457322,-857953.5485026331,260,270
999,-857954.5523765857,-857953.0451772843,270,270
1000,-857954.4237664135,-857952.5046406233,280,270
1001,-857954.4898165904,-857952.0809462266,290,270
1002,-857954.7685665943,-857951.8578666087,300,270
1003,-857955.2298710481,-857951.7747216033,310,270
1004,-857955.4468982565,-857951.8102386396,320,270
1005,-857955.6623127302,-857952.209334665,330,270
1006,-857956.01873897,-857953.0474990692,340,270
1007,-857956.1071119471,-857953.5323128888,350,270
1008,-857955.1188059854,-857952.2737798879,0,280
1009,-857955.9812914002,-857951.8125604247,10,280
1010,-857954.9317944412,-857950.8721119761,20,280
1011,-857953.685363673,-857950.0947532399,30,280
1012,-857953.233195704,-857949.8819647772,40,280
1013,-857953.4355808683,-857949.508910395,50,280
1014,-857953.4732762935,-857948.9430851025,60,280
1015,-857953.0332071283,-857948.1907639942,70,280
1016,-857951.925137692,-857947.3135685007,80,280
1017,-857948.9620086147,-857946.5778763935,90,280
1018,-857947.5535003445,-857948.2892202305,100,280
1019,-857948.360889849,-857949.4263928992,110,280
1020,-857950.1708351446,-857950.4217484267,120,280
1021,-857951.5738913291,-857951.096509364,130,280
1022,-857952.3869975306,-857951.2878997535,140,280
1023,-857952.8367537892,-857951.3020814676,150,280
1024,-857952.6220442554,-857951.1962833703,160,280
1025,-857952.5898210051,-857951.1600760737,170,280
1026,-857953.1354713514,-857951.1881257471,180,280
1027,-857953.6595938648,-857951.1851137016,190,280
1028,-857953.916189343,-857951.1796543692,200,280
1029,-857953.7866359729,-857951.2454173621,210,280
1030,-857953.5656590783,-857951.5215215306,220,280
1031,-857953.4748881792,-857951.9341717607,230,280
1032,-857953.4769081316,-857952.2567743812,240,280
1033,-857953.466389929,-857952.2338702853,250,280
1034,-857953.3471200649,-857951.7717723089,260,280
1035,-857953.0416065395,-857951.0478773797,270,280
1036,-857952.9417203956,-857950.3345246098,280,280
1037,-857953.0165226319,-857949.8291912305,290,280
1038,-857953.251915923,-857949.644954449,300,280
1039,-857953.8334165,-857949.763114483,310,280
1040,-857954.3177007169,-857950.1620850064,320,280
1041,-857954.5664315954,-857950.9690621899,330,280
1042,-857955.0889751782,-857951.9083811212,340,280
1043,-857955.2998769563,-857952.4586441789,350,280
1044,-857953.808119884,-857950.9356159349,0,290
1045,-857954.1559290825,-857950.4063744446,10,290
1046,-857953.3581738096,-857949.7813122576,20,290
1047,-857952.675948793,-857949.5794424599,30,290
1048,-857952.9843244565,-857949.1073670827,40,290
1049,-857952.5628549112,-857948.3107438056,50,290
1050,-857952.9045360584,-857947.3386061287,60,290
1051,-857950.5065126476,-857946.2306754016,70,290
1052,-857949.244796825,-857945.2026893814,80,290
1053,-857949.6377325413,-857946.1145233979,90,290
1054,-857947.0459537276,-857947.2274114499,100,290
1055,-857947.8223966148,-857948.1935250357,110,290
1056,-857949.0733725044,-857948.9117096286,120,290
1057,-857950.2379773988,-857949.1805346874,130,290
1058,-857951.0893065043,-857949.279994939,140,290
1059,-857951.4287912245,-857949.2587223678,150,290
1060,-857951.2294030789,-857949.3067895935,160,290
1061,-857951.3589305703,-857949.3963979464,170,290
1062,-857952.0741371776,-857949.4819274876,180,290
1063,-857952.7361160072,-857949.4902733637,190,290
1064,-857952.9056736743,-857949.5437371708,200,290
1065,-857952.7260584503,-857949.7943017037,210,290
1066,-857952.6067442072,-857950.214984055,220,290
