,ANI energy,DFT energy,Phi,Psi
188,-494732.024690568,-494733.3890145567,80,50
189,-494731.80117509025,-494733.28371846705,90,50
190,-494731.645925694,-494733.2155709382,100,50
191,-494731.58897900966,-494733.21732796467,110,50
192,-494731.7998878462,-494733.3300286662,120,50
193,-494732.0742976021,-494733.5422523703,130,50
194,-494732.39587778924,-494733.7832787592,140,50
195,-494732.544554852,-494733.9616169517,150,50
196,-494732.6051774613,-494734.0304547409,160,50
197,-494732.5833773004,-494733.942164158,170,50
198,-494732.43170106364,-494733.7386628356,180,50
199,-494732.2366922945,-494733.53089444875,190,50
200,-494732.0126730157,-494733.38179819775,200,50
201,-494731.78911505843,-494733.2758745986,210,50
202,-494731.6356118535,-494733.2118686323,220,50
203,-494731.59577270807,-494733.22492082935,230,50
204,-494731.81798578356,-494733.34985796554,240,50
205,-494732.0844402095,-494733.56534471887,250,50
206,-494732.39465399063,-494733.7978997299,260,50
207,-494732.54453666206,-494733.96707628405,270,50
208,-494732.6053548673,-494734.0302664881,280,50
209,-494732.58378920244,-494733.9452389544,290,50
210,-494732.4376357106,-494733.7514640289,300,50
211,-494732.25155700016,-494733.5492804764,310,50
212,-494732.0396609064,-494733.39748593466,320,50
213,-494731.8116506673,-494733.28930330137,330,50
214,-494731.649524038,-494733.2167004552,340,50
215,-494731.58860871056,-494733.2173907156,350,50
216,-494732.0854906929,-494733.5720590702,0,60
217,-494732.04891765234,-494733.58862532035,10,60
218,-494732.12516733486,-494733.6543255623,20,60
219,-494732.23651342734,-494733.72529688384,30,60
220,-494732.3723629772,-494733.7544760743,40,60
221,-494732.4271321182,-494733.733391756,50,60
222,-494732.4409228909,-494733.7224103402,60,60
223,-494732.43662336015,-494733.75453882525,70,60
224,-494732.38188663573,-494733.7824629969,80,60
225,-494732.2409369999,-494733.74807547766,90,60
226,-494732.134560797,-494733.67271158984,100,60
227,-494732.0606394548,-494733.60142651363,110,60
228,-494732.0853809327,-494733.572372825,120,60
229,-494732.04782856104,-494733.58567602583,130,60
230,-494732.1171133851,-494733.64597968635,140,60
231,-494732.22378340195,-494733.7173902644,150,60
232,-494732.3620832883,-494733.7547898291,160,60
233,-494732.4245047409,-494733.73527428444,170,60
234,-494732.44068068796,-494733.7219083326,180,60
235,-494732.4360954886,-494733.75453882525,190,60
236,-494732.3782479672,-494733.7825257478,200,60
237,-494732.23631198733,-494733.7436829114,210,60
238,-494732.13192746596,-494733.66580898565,220,60
239,-494732.0593903073,-494733.59747320396,230,60
240,-494732.08504653856,-494733.57180806645,240,60
241,-494732.0484988104,-494733.5884370675,250,60
242,-494732.1199094388,-494733.6520665282,260,60
243,-494732.2280201082,-494733.72134357406,270,60
244,-494732.36539494095,-494733.7547898291,280,60
245,-494732.4250690652,-494733.7353370354,290,60
246,-494732.44050171133,-494733.72153182694,300,60
247,-494732.4376133933,-494733.7514012779,310,60
248,-494732.38940592017,-494733.78202374023,320,60
249,-494732.24976033013,-494733.75196603645,330,60
250,-494732.1389932454,-494733.674970624,340,60
251,-494732.0607891743,-494733.6009245061,350,60
252,-494731.7851575922,-494733.3127721557,0,70
253,-494731.5871656108,-494733.18865078175,10,70
254,-494731.6503888606,-494733.18105791707,20,70
255,-494731.798032187,-494733.24939369876,30,70
256,-494732.0208297127,-494733.3654829515,40,70
257,-494732.2417225979,-494733.5340947471,50,70
258,-494732.4366487457,-494733.75453882525,60,70
259,-494732.5905411517,-494733.9579146458,70,70
260,-494732.6160406871,-494734.0429421794,80,70
261,-494732.5576599614,-494733.97241011466,90,70
262,-494732.3973266966,-494733.7932561598,100,70
263,-494732.0742752483,-494733.5499707368,110,70
264,-494731.8019030504,-494733.3275813792,120,70
265,-494731.5933372375,-494733.19662015204,130,70
266,-494731.63685055455,-494733.1771046074,140,70
267,-494731.7779471704,-494733.23571399227,150,70
268,-494731.9924492009,-494733.34772443335,160,70
269,-494732.22563434934,-494733.5131359307,170,70
270,-494732.4299254691,-494733.7406081149,180,70
271,-494732.5901773178,-494733.95490260026,190,70
272,-494732.6157083019,-494734.0431304323,200,70
273,-494732.55881238845,-494733.96663702745,210,70
274,-494732.39715389285,-494733.77869794006,220,70
275,-494732.0643979282,-494733.52719214285,230,70
276,-494731.78616625356,-494733.3078148308,240,70
277,-494731.5874671317,-494733.1885252798,250,70
278,-494731.64525343577,-494733.1798656491,260,70
279,-494731.7885847396,-494733.2430558531,270,70
280,-494732.00474029523,-494733.3545642866,280,70
281,-494732.23042223067,-494733.51664998377,290,70
282,-494732.42501818476,-494733.7353370354,300,70
283,-494732.58381108136,-494733.9452389544,310,70
284,-494732.61737727746,-494734.0420009153,320,70
285,-494732.5641562663,-494733.97975197545,330,70
286,-494732.40875077684,-494733.79620545433,340,70
287,-494732.0677664881,-494733.54068359657,350,70
288,-494731.1736044232,-494732.69392231246,0,80
289,-494731.00636559963,-494732.5063597308,10,80
290,-494731.06432657037,-494732.5061714779,20,80
291,-494731.3069175998,-494732.67302624707,30,80
292,-494731.65668628225,-494732.98508670845,40,80
293,-494732.0246430113,-494733.3890145567,50,80
294,-494732.38189836056,-494733.7824629969,60,80
295,-494732.616005805,-494734.0429421794,70,80
